timestamp,open,high,low,close,volume
2024-01-02,80.0,80.8,79.2,80.4,900000
2024-01-03,80.6,81.9,80.1,81.5,920000
2024-01-04,81.4,82.1,80.7,81.0,880000
2024-01-05,80.8,81.6,79.9,80.2,950000
2024-01-08,80.1,81.3,79.8,80.9,990000
2024-01-09,81.0,82.0,80.5,81.7,960000
2024-01-10,81.8,83.0,81.1,82.6,1010000
2024-01-11,82.4,82.9,81.4,81.8,970000
2024-01-12,81.7,82.6,80.9,81.2,1030000
2024-01-15,81.4,82.7,81.0,82.3,1050000
2024-01-16,82.4,83.4,81.8,83.0,1020000
2024-01-17,82.9,83.6,81.9,82.2,1000000
2024-01-18,82.0,82.9,81.1,81.6,1040000
2024-01-19,81.5,82.4,80.6,81.0,1080000
2024-01-22,80.9,82.0,80.4,81.8,1100000
2024-01-23,82.0,83.1,81.7,82.8,1070000
2024-01-24,82.9,84.0,82.4,83.6,1120000
2024-01-25,83.5,84.1,82.7,83.0,1090000
2024-01-26,82.8,83.4,81.9,82.2,1110000
2024-01-29,82.1,82.8,80.9,81.4,1140000
2024-01-30,81.5,82.2,80.3,80.8,1160000
2024-01-31,80.7,81.9,80.1,81.5,1130000
2024-02-01,81.6,82.7,81.0,82.4,1190000
2024-02-02,82.5,83.6,82.0,83.2,1200000
2024-02-05,83.4,84.3,82.9,83.9,1180000
2024-02-06,84.0,85.1,83.5,84.7,1220000
2024-02-07,84.9,85.4,83.8,84.1,1170000
2024-02-08,84.0,84.7,82.9,83.3,1150000
2024-02-09,83.2,83.9,82.1,82.6,1130000
2024-02-12,82.7,83.6,81.8,82.1,1120000
2024-02-13,82.0,83.0,81.1,81.5,1100000
2024-02-14,81.6,82.9,81.3,82.4,1150000
2024-02-15,82.5,83.8,82.1,83.4,1190000
2024-02-16,83.5,84.5,83.0,84.1,1210000
2024-02-20,84.3,85.6,83.9,85.0,1240000
2024-02-21,85.2,86.3,84.7,85.8,1260000
2024-02-22,85.7,86.1,84.6,85.0,1230000
2024-02-23,84.8,85.7,83.7,84.1,1250000
2024-02-26,84.0,84.9,83.1,83.7,1270000
2024-02-27,83.8,84.8,83.0,84.3,1290000
